TRATYJI128F4255D27	Bombay Rockers	Rock Tha Party	Pop|Rap	42|0.292869680263	12|0.230948222104	24|0.124880412804	7|0.098473026547	5|0.0372309711635	41|0.0366505876112	14|0.0359627239281	9|0.0359146293654	0|0.029224870586	37|0.0272260766005	26|0.0096400658977	28|0.00960494581386	44|0.00922496679535	48|0.00167348758353	1|0.00155223183805	17|0.00146276605534	15|0.00116995535771	32|0.00102576356689	31|0.00102505646142	23|0.00101949374994	27|0.000993533699209	8|0.000792051141599	49|0.000780662612155	38|0.000728125272287	6|0.000690527016436	4|0.000681065001463	21|0.000594861156418	25|0.000554280610931	2|0.000551447086309	39|0.000551326687176	35|0.000533863009425	29|0.000519409062747	11|0.000513688709172	30|0.000513123870004	36|0.000509482323611	22|0.000477843586606	3|0.00044850602964	20|0.000427588027485	18|0.000424905914609	16|0.000397148593689	46|0.000317102660286	34|0.000289303520184	19|0.000228182823461	43|0.000184063954159	33|0.000164180587851	10|0.000117232582746	45|0.000105861491639	47|5.87832120011e-05	13|4.47850794197e-05	40|2.71305843974e-05
TRANIWL128F4262AB0	Bare Jr.	Tobacco Spit	Rock|Country	4|0.429311195073	5|0.180978069841	17|0.0795673047496	24|0.077523419026	36|0.0768645347255	41|0.0284924747063	32|0.0280482796255	7|0.0277926570663	0|0.007438926098	48|0.00474470708564	1|0.0044009202536	15|0.00331708196118	31|0.00290626157225	23|0.00289049005602	27|0.00281688757588	8|0.00224564000397	49|0.0022133510065	26|0.00219170370794	28|0.00209213050987	38|0.00206439603893	6|0.0019577966756	37|0.00177190348067	21|0.00168656282341	25|0.00157150800997	2|0.00156347434155	39|0.00156313298341	35|0.00151361959808	29|0.00147263946539	11|0.001456420999	30|0.00145481955515	14|0.00140221591614	22|0.00135479215592	3|0.00127161369927	9|0.00126585720366	20|0.00121230654097	18|0.0012047021583	12|0.00114889713191	16|0.00112600402003	44|0.00101480602938	46|0.000899056111282	34|0.000820239406388	42|0.000729820867939	19|0.000646948725494	43|0.000521861982188	33|0.000465488245125	10|0.000332380276672	45|0.000300140720742	47|0.000166663395201	13|0.000126975596201	40|7.69212017433e-05
TRABXPR128F92F27FE	Cauterize	Shooting Stars	Rock	48|0.320244797073	0|0.211500201214	17|0.124300702537	8|0.123375733924	5|0.0758011237986	20|0.0495030507609	26|0.0255227523043	35|0.0251929256966	12|0.0127871778836	1|0.00214064977628	41|0.00163066937062	15|0.00161346044666	32|0.00141460862749	31|0.00141363347345	23|0.00140596205684	27|0.00137016110533	7|0.00129027136561	49|0.00107659513553	24|0.00102310382779	28|0.00101763232457	38|0.00100414201218	6|0.000952291060535	4|0.000939242197769	37|0.000861870829488	21|0.000820360316154	25|0.000764396552566	2|0.000760488899277	39|0.000760322859403	29|0.00071630594523	11|0.000708417127786	30|0.000707638170154	36|0.000702616191297	14|0.00068205125615	22|0.000658983884813	3|0.000618525086574	9|0.000615725071953	18|0.00058597867197	16|0.000547699143512	44|0.000493611375479	46|0.000437309506325	34|0.000398972305927	42|0.000354991862532	19|0.000314682058454	43|0.000253838668062	33|0.000226417942241	10|0.000161672951087	45|0.000145991322198	47|8.10666722166e-05	13|6.17621465368e-05	40|3.74152095049e-05
TRALAZG128F93170BF	Juana Molina	Micael	Latin|World	20|0.181440385234	45|0.17515996214	0|0.0512183226183	5|0.0344119565963	48|0.0326681479342	1|0.0303011147573	17|0.0285546533833	41|0.0230822903764	15|0.0228386963119	32|0.0200239286376	31|0.0200101252331	23|0.0199015355528	27|0.019394769452	7|0.0182639220812	8|0.0154616288282	49|0.0152393133666	26|0.0150902678852	24|0.0144821384787	28|0.0144046887955	38|0.014213732055	6|0.0134797765741	4|0.0132950685978	37|0.0121998690302	21|0.0116122835027	25|0.0108201107514	2|0.0107647975227	39|0.0107624472114	35|0.0104215387913	29|0.0101393833257	11|0.0100277163144	30|0.0100166900901	36|0.00994560346988	14|0.00965450472652	22|0.009327983745	3|0.00875528535128	9|0.00871565086026	18|0.00829458755066	12|0.00791036006841	16|0.00775273694179	44|0.00698711909795	46|0.00619016042812	34|0.00564749346708	42|0.0050249458289	19|0.00445435646265	43|0.00359311209895	33|0.00320496894306	10|0.00228849702474	47|0.00114750696963	13|0.000874249450145	40|0.000529616086404
TRABKBS128F42823EC	A Static Lullaby	God Bless You (Goddamn it)	Rock	43|0.463127317192	5|0.259700770892	17|0.0792644194249	7|0.0785000326277	48|0.0281410303272	38|0.0267702519603	8|0.0140057106783	9|0.0135046251537	0|0.00380445358408	1|0.00225074111659	41|0.0017145329613	15|0.00169643900069	32|0.00148736044404	31|0.00148633513886	23|0.00147826918946	27|0.0014406270331	49|0.00113196327784	26|0.00112089230583	24|0.00107572096906	28|0.00106996807224	6|0.00100126637653	4|0.000987546424633	37|0.000906195929206	21|0.000862550574339	25|0.000803708653936	2|0.000799600034196	39|0.000799425455068	35|0.000774103066622	29|0.000753144797834	11|0.000744850266902	30|0.000744031248308	36|0.000738750994422	14|0.000717128426542	22|0.000692874724841	3|0.000650335173657	20|0.000620004003806	18|0.00061611493158	12|0.000587574839925	16|0.000575866727703	44|0.000518997283311	46|0.000459799868932	34|0.000419491027109	42|0.000373248716305	19|0.000330865821894	33|0.000238062376099	10|0.000169987618939	45|0.000153499500562	47|8.52358449126e-05	13|6.49385080174e-05	40|3.93394339195e-05
TRAZYQU128F934AC32	Lizzy Borden	Psychopath	Metal	7|0.166228109829	28|0.111053799979	2|0.110669909127	23|0.0933777777634	6|0.0927004898063	1|0.076218835316	32|0.0751349244413	24|0.0562946829096	0|0.0419134008219	22|0.0374953243831	31|0.0203661831215	8|0.0198864638034	30|0.0193121988011	14|0.0192739999547	12|0.0190900490813	5|0.00362934888421	48|0.00344543344761	17|0.00301159276154	41|0.00243443538552	15|0.00240874408709	27|0.00204552114534	49|0.001607254874	26|0.00159153539434	38|0.00149908920261	4|0.00140219990822	37|0.00128669176159	21|0.00122472048503	25|0.00114117187068	39|0.00113509023147	35|0.00109913541469	29|0.00106937713514	11|0.00105759987565	36|0.00104893962525	3|0.000923399546659	9|0.000919219389237	20|0.000880332848711	18|0.000874810823029	16|0.000817663101794	44|0.000736915171652	46|0.000652861797616	34|0.00059562797762	42|0.000529969328723	19|0.000469790597707	43|0.00037895716132	33|0.000338020607021	10|0.000241362449125	45|0.000217951258017	47|0.000121024886458	13|9.22050525529e-05	40|5.58573746562e-05
TRAEVLO128F933DE9E	Fiona	No More Lonely Nights	Reggae	44|0.378935298683	7|0.245355697437	32|0.111342416662	36|0.0872195922992	39|0.0714811117797	17|0.0328526409312	14|0.0241035109042	4|0.00849370704887	21|0.00841702268823	2|0.00837840283077	0|0.00233401420907	5|0.00156814966894	48|0.00148868447002	1|0.00138081898779	41|0.0010518578306	15|0.00104075727169	31|0.000911859550094	23|0.00090691112844	27|0.000883817844249	8|0.000704584990988	49|0.000694454096031	26|0.000687662107272	24|0.000659949706649	28|0.000656420331771	38|0.000647718450826	6|0.000614272167665	37|0.000555946899659	25|0.000493071442923	35|0.000474908555683	29|0.000462050757298	11|0.000456962101957	30|0.000456459637938	22|0.000425075353698	3|0.000398977541038	9|0.00039717140096	20|0.000380369512357	18|0.000377983585013	12|0.0003604743743	16|0.000353291503046	46|0.000282085036313	34|0.000257355753253	42|0.000228986315149	19|0.000202984610675	43|0.000163737784937	33|0.00014605013734	10|0.000104286597063	45|9.41712147296e-05	47|5.22917861268e-05	13|3.98394663198e-05	40|2.41345559133e-05
TRARDJY128F14750EA	30 Seconds To Mars	Year Zero	Rock	17|0.518291834472	31|0.173632625455	27|0.0875937363285	23|0.0733043707536	18|0.058012046577	24|0.04419302329	0|0.00424063642228	5|0.0028491482939	48|0.00270476913137	1|0.00250878990773	41|0.00191110517245	15|0.00189093672863	32|0.00165788719265	7|0.00151216692059	8|0.00128015020807	49|0.00126174353258	26|0.00124940326712	28|0.00119264054024	38|0.00117683021949	6|0.00111606215475	4|0.00110076920232	37|0.0010100918248	21|0.00096144250436	25|0.000895854323219	2|0.000891274647812	39|0.000891080053085	35|0.000862854437929	29|0.000839493291313	11|0.000830247787538	30|0.00082933486798	36|0.000823449229884	14|0.000799347621895	22|0.000772313219047	3|0.000724896483332	9|0.000721614933729	20|0.000691087827041	12|0.000654940640471	16|0.000641890186306	44|0.000578500626708	46|0.000512516193998	34|0.000467585919781	42|0.000416041900881	19|0.000368799782729	43|0.000297492796664	33|0.00026535636736	10|0.000189476799304	45|0.000171098308469	47|9.50081846005e-05	13|7.23837461073e-05	40|4.38497231268e-05
TRARSKA128F9336A04	Britney Spears	3	Pop	12|0.587729573688	9|0.147268619332	20|0.112701112235	1|0.0878847828188	48|0.0189046788852	28|0.0179933412901	0|0.00255576901429	5|0.0017171396464	17|0.00142486310758	41|0.00115179489502	15|0.00113963967145	32|0.000999184154032	31|0.000998495370963	23|0.000993076799523	27|0.000967789421261	7|0.000911360695714	8|0.000771527645764	49|0.000760434213977	26|0.000752996918031	24|0.000722651560857	38|0.000709258212815	6|0.000672634196639	4|0.000663417359805	37|0.00060876744204	21|0.00057944721428	25|0.000539918185056	2|0.000537158082247	39|0.000537040802876	35|0.000520029641003	29|0.000505950222558	11|0.000500378093822	30|0.000499827890672	36|0.000496280703416	14|0.000481755019825	22|0.000465461784037	3|0.000436884416908	18|0.000413895824085	16|0.000386857746191	44|0.000348653793737	46|0.000308885949538	34|0.000281807136074	42|0.000250742316255	19|0.000222270188556	43|0.000179294519967	33|0.000159926368099	10|0.000114194871799	45|0.00010311842649	47|5.72600313081e-05	13|4.36246159816e-05	40|2.64275812621e-05
TRAKDDB128F92D168A	Lee Ritenour	Is It You?	Jazz	17|0.25859225846	1|0.149241882659	32|0.129902209948	0|0.0966806863288	30|0.0923352461436	38|0.0562663747095	36|0.0558162251321	48|0.0399569571189	2|0.0376468617846	15|0.0206645059227	14|0.0192739999547	5|0.00362934888421	41|0.00243443538552	31|0.00211042128583	23|0.00209896858526	27|0.00204552114534	7|0.00192625330796	8|0.00163070196775	49|0.001607254874	26|0.00159153539434	24|0.00152739740275	28|0.00151922896511	6|0.00142168062812	4|0.00140219990822	37|0.00128669176159	21|0.00122472048503	25|0.00114117187068	39|0.00113509023147	35|0.00109913541469	29|0.00106937713514	11|0.00105759987565	22|0.000983800711889	3|0.000923399546659	9|0.000919219389237	20|0.000880332848711	18|0.000874810823029	12|0.000834287245705	16|0.000817663101794	44|0.000736915171652	46|0.000652861797616	34|0.00059562797762	42|0.000529969328723	19|0.000469790597707	43|0.00037895716132	33|0.000338020607021	10|0.000241362449125	45|0.000217951258017	47|0.000121024886458	13|9.22050525529e-05	40|5.58573746562e-05
