tid	artist	song
TRATYJI128F4255D27	Bombay Rockers	Rock Tha Party
TRANIWL128F4262AB0	Bare Jr.	Tobacco Spit
TRABXPR128F92F27FE	Cauterize	Shooting Stars
TRALAZG128F93170BF	Juana Molina	Micael
TRABKBS128F42823EC	A Static Lullaby	God Bless You (Goddamn it)
TRAZYQU128F934AC32	Lizzy Borden	Psychopath
TRAEVLO128F933DE9E	Fiona	No More Lonely Nights
TRARDJY128F14750EA	30 Seconds To Mars	Year Zero
TRARSKA128F9336A04	Britney Spears	3
TRAKDDB128F92D168A	Lee Ritenour	Is It You?
TRAGLSU128F145FFB2	K-OS	Heaven Only Knows
TRBCRDW128F422D8BA	Keep Of Kalessin	As Mist Lay Silent Beneath
TRAAGEC128E079252C	Nine Inch Nails	Metal
TRBBOUN128F425A4E6	Rick Astley	Hopelessly
TRAXUPN128F42855C8	W.A.S.P.	Heaven's Hung In Black (Reprise)
TRAZCSY128F42683F2	Pretty Boy Floyd	Shut Up
TRAPZQI128F428CF18	Amorphis	And I Hear You Call
TRAVVBW128F42819B2	Belle & Sebastian	Stay Loose
TRBHZUN12903CA60F7	Charlotte Gainsbourg	IRM
TRAASQC128F93480F0	Rise Against	Amber Changing
TRAEVRU128F4263351	Teena Marie	Light
TRAPIIR128F42AEE95	RUN-DMC	Miss Elaine
TRADHLI128F428FEFD	Suicidal Tendencies	Human Guinea Pig
TRANRWM128F42873F9	Eyes Set to Kill	Liar in the Glass
TRBETHV128F429722F	Andy & Lucas	Hasta Los Huesos
TRBDDKF128F426BF7B	Fleet Foxes	English House
TRBAIKM12903CBCF21	Colin James	Better Days
TRAUZVU12903CC050D	The Shangri-Las	Remember (Walkin' In the Sand)
TRANYAM12903CD9CFC	Dax Riggs	Night is the Notion
TRAEWLF128F42B1F89	Information Society	More to This
TRBBMPH128F1469775	Mike And The Mechanics	Seeing Is Believing
TRABHVL128F92EFB0E	Bullet For My Valentine	Suffocating Under Words Of Sorrow (What Can I Do)
TRAIZWI128F4247EFD	Ashton Shepherd	Old Memory
TRAHVUK128F1456988	The Roots	The Ultimate
TRABGMB12903CF50FE	Die Fantastischen Vier	Böse
TRBFXVN128E078CF62	Cactus	Bro. Bill  (LP Version)
TRAAQBF12903CF796B	Hem	Have Yourself A Merry Little Christmas
TRAFWEV128F428D391	Cake	Alpha Beta Parking Lot
TRAVYXL128EF34722F	Novembre	Reason
TRAZRAR128F1477778	The Four Pennies	Juliet
TRAGBHV128F4295074	Goldfinger	I'm Down
TRAUJPQ128F930D4C5	Showbread	Nothing Matters Anymore
TRAAMPA128F92E7D0D	Descendents	Orgofart
TRAEXEA128F933C67D	Pursuit Of Happiness	Hard To Laugh
TRALDDK128F9300AC5	Thrice	The Earth Will Shake
TRATGQO128F421B850	Elvenking	Pathfinders
TRAAXMX128F9307699	Till West & DJ Delicious	Same Man
TRAYMKM128F4277046	Simon & Garfunkel	Patterns
TRBARSX12903D03AE5	Sade	Morning Bird
TRAKMLM128F14932B0	L.A. Guns	Some Lie For Love
TRAGKUI128F92F4698	Mithotyn	Guided By History
TRASIKP128F423EED7	Basement Jaxx	La Photo
TRBBQFV128F4252EFF	Jack Johnson	Adrift
TRALEPN128F9311179	Arctic Monkeys	Dancing Shoes
TRACOHQ128F424C5EF	Chimaira	The Flame
TRAXJHG128F427EA02	3 Doors Down	Be Like That
TRAORSC128F4235056	MxPx	Time Will Tell
TRAMPCW128F92CC022	Simon & Garfunkel	A Simple Desultory Philippic (Or How I Was Robert McNamara'd Into Submission)
TRAKBON128F9311039	The Rolling Stones	Around And Around
TRABNET128F14560AC	J.J. Cale	Trouble In The City
TRBHBGB128F931E4CF	Hall & Oates	Fall in Philadelphia
TRARPCK128F92FEA7F	Grizzly Bear	Little Brother
TRAJFRJ128F9328FF1	B.B. King	Early In The Morning
TRABLGI128F42B867A	Eighteen Visions	Our Darkest Days
TRAFJVH128F42BC25E	DJ Quik	Pitch In OnA Party
TRAHKMS128F934B09E	Lizzy Borden	There Will Be Blood Tonight
TRBHNEU128F426E873	Mary Black	Flesh And Blood
TRAONYI128F9324BA3	Patricia Kaas	Elle Voulait Jouer Cabaret
TRATGTP128F427021D	Neil Diamond	Hey Louise
TRAWYNV128F92F5E7E	Guns N' Roses	Catcher In The Rye
TRACKWV128F934B6B0	Goatwhore	Forever Consumed Oblivion
TRAHZIL12903CF1DC2	Blind Willie Johnson	If I Had My Way I'd Tear This Building Down
TRABOXX128F92F29EB	Owl City	Panda Bear
TRAXUBG128F9332164	The Sonics	Love Lights
TRBBJAJ128F425DA40	Jane's Addiction	True Nature
TRAVMXD12903CBBD0B	Jimi Hendrix	Once I Had A Woman
TRASDGG128F933EDE2	Anti-Flag	On Independence Day
